isic_id,coll,label,bg_attr_mean_p6,fg_attr_mean_p6,bg_fg_ratio_p6,r_share_p6,g_share_p6,b_share_p6,total_abs_p6,bg_attr_mean_p10,fg_attr_mean_p10,bg_fg_ratio_p10,r_share_p10,g_share_p10,b_share_p10,total_abs_p10
ISIC_0068276,249,1,0.013941328972578049,0.007439310196787119,1.8740082889135359,0.42603703550325617,0.39424018693551516,0.17972277756122815,1704.5065612792978,0.008790540508925915,0.004250553902238607,2.068092938263003,0.4180210809084498,0.39704099011651534,0.184937928975034,1050.9769134521493
ISIC_0057542,249,1,0.020667200908064842,0.022174077108502388,0.9320433408315446,0.2639219773109464,0.5170432705923305,0.21903475209672282,3134.6801147460947,0.01607990451157093,0.011692054569721222,1.3752847641690684,0.2611404268057383,0.5129303632408766,0.22592920995338467,2117.2279052734384
ISIC_0063819,249,1,0.014796840026974678,0.008654030039906502,1.7098207377073702,0.2567099443667032,0.5455679616374357,0.19772209399586055,1658.9761352539072,0.009043565019965172,0.0062154182232916355,1.4550211578804704,0.26249963032292034,0.5422412509688048,0.19525911870827398,1092.7819519042978
ISIC_0058398,249,1,0.007202048785984516,0.014555945061147213,0.4947840044552142,0.33649870771510904,0.3943971117558969,0.26910418052899326,1141.8780212402353,0.006902957800775766,0.013182961381971836,0.5236272488984003,0.32261378912785854,0.4063214920851603,0.27106471878698035,1086.1085205078134
ISIC_0072292,249,1,0.01380418986082077,0.0076583558693528175,1.8025004447837596,0.2741172867957464,0.5261387302786785,0.19974398292557455,1598.0131530761728,0.011667659506201744,0.009099460206925869,1.2822364448960546,0.2761038416511096,0.5254366222603951,0.19845953608849468,1537.646514892579
ISIC_0053939,249,1,0.03263281285762787,0.007038455456495285,4.636359931426914,0.3385547774651887,0.4284542112784728,0.23299101125633823,2940.5470581054697,0.022628244012594223,0.008809434249997139,2.56863759583671,0.3298999934538497,0.4434701627393918,0.22662984380675807,2326.294250488282
ISIC_0054721,249,1,0.0047365534119307995,0.005207230802625418,0.909610806869304,0.20174853344558055,0.5427069001157813,0.25554456643863677,712.3191833496104,0.0030407262966036797,0.004477425012737513,0.6791238910653624,0.20589416113174322,0.5412405611943125,0.2528652776739421,490.75884246826274
ISIC_0055465,249,1,0.02013142965734005,0.009939789772033691,2.0253375694102975,0.30972236398314024,0.4592026108690388,0.23107502514782058,2455.3306884765634,0.009822944179177284,0.007089517079293728,1.3855589977866116,0.3130146989133654,0.4586604076562645,0.22832489343036938,1310.8185729980478
ISIC_0054993,249,1,0.010760795325040817,0.0041651856154203415,2.583509192291989,0.45655970738906176,0.3378463855694538,0.20559390704148386,1566.5215759277353,0.009991870261728764,0.008659361861646175,1.1538806694272128,0.42806541192682296,0.3542863003696356,0.2176482877035408,1469.2756958007822
ISIC_0064625,249,1,0.012670818716287613,0.010498851537704468,1.2068766446294599,0.2602389863862618,0.5344997773812686,0.20526123623246897,1763.5235900878915,0.009576764889061451,0.007382489740848541,1.2972269823920812,0.26041516824133654,0.5322762363902869,0.20730859536837587,1306.2096252441415
